episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,-1.8984318618731528,-5.964679956379797,-8.765045316323377,-0.5310379900038242,3.242061215639114,[-0.5310379900038242, 3.242061215639114],0.0,False,True,0.29153561791547694,0,48.06927451701628,7.859,prepare,0.0
0,2.0,-1.8985742136812802,-5.96469063976059,-8.773750312884836,-0.5155443772673607,3.2419115245342254,[-0.5155443772673607, 3.2419115245342254],1.0,False,True,0.29124633439275355,0,48.06927451701628,7.921,in_progress,0.0
0,3.0,-1.8902784173200344,-5.964166056115005,-8.360818558767548,-3.754792660474777,3.5173444539308547,[-3.754792660474777, 3.5173444539308547],1.0,False,True,0.3081359290997647,0,48.06927451701628,7.996,in_progress,0.0
0,4.0,-1.8641742064756763,-5.968240343027975,-8.39922847684162,-1.0414405167102814,3.392258349061012,[-1.0414405167102814, 3.392258349061012],1.0,False,True,0.36309871501689034,1,48.06927451701628,8.056,in_progress,0.0
0,5.0,-1.8252853396824906,-5.974773842498377,-8.603000464192494,0.5761672742664814,3.240641051530838,[0.5761672742664814, 3.240641051530838],1.0,False,True,0.4451269517254343,1,48.06927451701628,8.123,in_progress,0.0
0,6.0,-1.771749241466205,-5.981893322032196,-8.35873920187262,-1.77660271525383,3.387799334526062,[-1.77660271525383, 3.387799334526062],1.0,False,True,0.557455658710788,1,48.06927451701628,8.196,in_progress,0.0
0,7.0,-1.7005302751295261,-5.99102012002454,-8.016735870329555,-1.7359522730112076,3.3483590126037597,[-1.7359522730112076, 3.3483590126037597],1.0,False,True,0.7067435299068985,1,48.06927451701628,8.258,in_progress,0.0
0,8.0,-1.6131157213156744,-6.004102903114414,-8.219702592215658,-1.183381900191307,3.3018258213996887,[-1.183381900191307, 3.3018258213996887],1.0,False,True,0.8906136926823351,1,48.06927451701628,8.325,in_progress,0.0
0,9.0,-1.508965923131461,-6.0188360778761325,-8.177761212242997,-1.1858339980244637,3.3346012592315675,[-1.1858339980244637, 3.3346012592315675],1.0,False,True,1.1094074987748548,2,48.06927451701628,8.394,in_progress,0.0
0,10.0,-1.3945764088850254,-6.034050855368228,-7.937018081607619,-3.0230462551116943,3.327294397354126,[-3.0230462551116943, 3.327294397354126],1.0,False,True,1.349308258829017,2,48.06927451701628,8.463,in_progress,0.0
0,11.0,-1.262424265970638,-6.054695608747788,-8.413705662683203,-3.039390742778778,3.3677561968564986,[-3.039390742778778, 3.3677561968564986],1.0,False,True,1.6275572043459066,3,48.06927451701628,8.526,in_progress,0.0
0,12.0,-1.1189583895261646,-6.084011019992913,-10.091607731846041,1.2454641982913017,3.30317762196064,[1.2454641982913017, 3.30317762196064],1.0,False,True,1.9318898431130067,3,48.06927451701628,8.588000000000001,in_progress,0.0
0,13.0,-0.960367988374831,-6.116202704637403,-10.881227787128305,1.9300228357315063,3.1560659229755403,[1.9300228357315063, 3.1560659229755403],1.0,False,True,2.2683387283596654,4,48.06927451701628,8.659,in_progress,0.0
0,14.0,-0.7864787880244308,-6.148781294168011,-10.74694977132076,2.2659143060445786,2.9308267891407014,[2.2659143060445786, 2.9308267891407014],1.0,False,True,2.6363205464797637,4,48.06927451701628,8.729,in_progress,0.0
0,15.0,-0.5970348504696998,-6.182939866788738,-10.50491237145448,3.9723171293735504,3.0502814576029778,[3.9723171293735504, 3.0502814576029778],1.0,False,True,3.0367557780768704,5,48.06927451701628,8.79,in_progress,0.0
0,16.0,-0.4061125265001393,-6.2097545060735815,-8.782194304563363,2.4627920240163803,3.157864074409008,[2.4627920240163803, 3.157864074409008],1.0,False,True,3.4376872625206416,5,48.06927451701628,8.861,in_progress,0.0
0,17.0,-0.2109224409473976,-6.227702120106946,-6.310653491117261,-11.732731461524963,3.2190924897789954,[-11.732731461524963, 3.2190924897789954],1.0,False,True,3.844077385840229,6,48.06927451701628,8.924,in_progress,0.0
0,18.0,0.006184263570793186,-6.246895764282342,-5.671062932748962,-12.930254638195038,3.1542230889201166,[-12.930254638195038, 3.1542230889201166],1.0,False,True,4.295803067175657,7,48.06927451701628,8.994,in_progress,0.0
0,19.0,0.23055328630102234,-6.276050279036613,-6.960980487783307,-10.774247646331787,3.1790579840540887,[-10.774247646331787, 3.1790579840540887],1.0,False,True,4.7643094247940505,8,48.06927451701628,9.059,in_progress,0.0
0,20.0,0.4429603806575574,-6.3119048548268495,-8.83963289030479,-8.592660427093506,3.212478683888912,[-8.592660427093506, 3.212478683888912],1.0,False,True,5.209667708415671,8,48.06927451701628,9.127,in_progress,0.0
0,21.0,0.6506923843830803,-6.351399355081361,-10.189597081822884,-2.8313125669956207,3.0887671530246736,[-2.8313125669956207, 3.0887671530246736],1.0,False,True,5.649381799381247,9,48.06927451701628,9.192,in_progress,0.0
0,22.0,0.8700608325671059,-6.39158142916104,-10.21724207565673,0.9294586814939976,3.1312688827514648,[0.9294586814939976, 3.1312688827514648],1.0,False,True,6.1100102733716515,10,48.06927451701628,9.261,in_progress,0.0
0,23.0,1.09214202449268,-6.4240153711939705,-8.723474849731378,4.1949909925460815,3.1821365907788275,[4.1949909925460815, 3.1821365907788275],1.0,False,True,6.571803267569284,10,48.06927451701628,9.326,in_progress,0.0
0,24.0,1.3191620422645887,-6.446957892110219,-6.583932774998506,1.97533518075943,3.090217004716396,[1.97533518075943, 3.090217004716396],0.5,False,True,7.0512375040212225,11,48.06927451701628,9.39,in_progress,0.0
